"","x"
"1",NA
"2","__NA__"
"3","__NA__"
"4","Whitechapel"
"5","__NA__"
"6","Other major world cities"
"7","__NA__"
"8","__NA__"
"9","__NA__"
"10","__NA__"
"11","Norwich, Norfolk"
"12","__NA__"
"13","__NA__"
"14","__NA__"
"15","__NA__"
"16","__NA__"
"17","__NA__"
"18","__NA__"
"19","__NA__"
"20","colchester"
"21","__NA__"
"22","__NA__"
"23","Portsmouth"
"24","__NA__"
"25","__NA__"
"26","__NA__"
"27","__NA__"
"28","__NA__"
"29","__NA__"
"30","__NA__"
"31","__NA__"
"32","__NA__"
"33","__NA__"
"34","Other boroughs in SE"
"35","__NA__"
"36","__NA__"
"37","LOL"
"38","spurs"
"39","__NA__"
"40","North London"
"41","__NA__"
"42","__NA__"
"43","__NA__"
"44","__NA__"
"45","__NA__"
"46","__NA__"
"47","any suburb of a city"
"48","__NA__"
"49","__NA__"
"50","__NA__"
"51","__NA__"
"52","__NA__"
"53","__NA__"
"54","harrow"
"55","--"
"56","__NA__"
"57","__NA__"
"58","__NA__"
"59","__NA__"
"60","__NA__"
"61","__NA__"
"62","Hendon vs West Hendon"
"63","__NA__"
"64","__NA__"
"65","__NA__"
"66","__NA__"
"67","__NA__"
"68","__NA__"
"69","Hendon"
"70","__NA__"
"71","__NA__"
"72","__NA__"
"73","__NA__"
"74","Cockfosters, Totteridge and Whetstone"
"75","__NA__"
"76","__NA__"
"77","__NA__"
"78","__NA__"
"79","__NA__"
"80","__NA__"
"81","__NA__"
"82","Cromer"
"83","none"
"84","any area in London"
"85","The next village"
"86","__NA__"
"87","__NA__"
"88","__NA__"
"89","Africa"
"90","__NA__"
"91","__NA__"
"92","__NA__"
"93","__NA__"
"94","."
"95","__NA__"
"96","__NA__"
"97","Crouch End, Finchley"
"98","__NA__"
"99","__NA__"
"100","__NA__"
"101","__NA__"
"102","__NA__"
"103","__NA__"
"104","__NA__"
"105","__NA__"
"106","living outside of a city, which is quieter and still keeps English traditions"
"107","__NA__"
"108","__NA__"
"109","__NA__"
"110","__NA__"
"111","__NA__"
"112","__NA__"
"113","__NA__"
"114","Shops"
"115","__NA__"
"116","__NA__"
"117","__NA__"
"118","__NA__"
"119","__NA__"
"120","whole country"
"121","__NA__"
"122","Cowes on Isle of Wight"
"123","__NA__"
"124","__NA__"
"125","__NA__"
"126","__NA__"
"127","__NA__"
"128","__NA__"
"129","__NA__"
"130","none"
"131","__NA__"
"132","__NA__"
"133","__NA__"
"134","__NA__"
"135","__NA__"
"136","__NA__"
"137","__NA__"
"138","__NA__"
"139","__NA__"
"140","__NA__"
"141","__NA__"
"142","__NA__"
"143","Kent"
"144","__NA__"
"145","__NA__"
"146","__NA__"
"147","__NA__"
"148","Brighton"
"149","__NA__"
"150","__NA__"
"151","__NA__"
"152","suburbs"
"153","__NA__"
"154","__NA__"
"155","__NA__"
"156","__NA__"
"157","__NA__"
"158","__NA__"
"159","__NA__"
"160","__NA__"
"161","London"
"162","__NA__"
"163","__NA__"
"164","__NA__"
"165","__NA__"
"166","__NA__"
"167","__NA__"
"168","__NA__"
"169","__NA__"
"170","__NA__"
"171","__NA__"
"172","__NA__"
"173","Northern Ireland"
"174","__NA__"
"175","__NA__"
"176","Norwich and essex"
"177","__NA__"
"178","__NA__"
"179","__NA__"
"180","Carlisle"
"181","__NA__"
"182","__NA__"
"183","__NA__"
"184","__NA__"
"185","Lewisham"
"186","__NA__"
"187","__NA__"
"188","__NA__"
"189","__NA__"
"190","__NA__"
"191","__NA__"
"192","Bexleyheath"
"193","Sidcup, Kent"
"194","__NA__"
"195","__NA__"
"196","__NA__"
"197","__NA__"
"198","__NA__"
"199","__NA__"
"200","__NA__"
"201","__NA__"
"202","__NA__"
"203","__NA__"
"204","__NA__"
"205","__NA__"
"206","__NA__"
"207","__NA__"
"208","__NA__"
"209","__NA__"
"210","__NA__"
"211","__NA__"
"212","__NA__"
"213","__NA__"
"214","__NA__"
"215","__NA__"
"216","__NA__"
"217","__NA__"
"218","__NA__"
"219","__NA__"
"220","__NA__"
"221","__NA__"
"222","__NA__"
"223","__NA__"
"224","__NA__"
"225","__NA__"
"226","__NA__"
"227","__NA__"
"228","__NA__"
"229","__NA__"
"230","__NA__"
"231","__NA__"
"232","__NA__"
"233","__NA__"
"234","__NA__"
"235","Bexley"
"236","__NA__"
"237","__NA__"
"238","__NA__"
"239","Anywhere up North"
"240","__NA__"
"241","__NA__"
"242","__NA__"
"243","__NA__"
"244","__NA__"
"245","__NA__"
"246","__NA__"
"247","__NA__"
"248","__NA__"
"249","__NA__"
"250","__NA__"
"251","__NA__"
"252","Derby, Nottingham, Coventry"
"253","__NA__"
"254","south london"
"255","__NA__"
"256","__NA__"
"257","__NA__"
"258","__NA__"
"259","__NA__"
"260","__NA__"
"261","__NA__"
"262","__NA__"
"263","RICHMOND"
"264","__NA__"
"265","__NA__"
"266","__NA__"
"267","manchester"
"268","__NA__"
"269","Stonebridge"
"270","__NA__"
"271","__NA__"
"272","__NA__"
"273","There are a few which is more of a thing when you’re young e.g postcode wars etc"
"274","__NA__"
"275","__NA__"
"276","__NA__"
"277","__NA__"
"278","__NA__"
"279","__NA__"
"280","NA"
"281","__NA__"
"282","__NA__"
"283","Other Local West London Boroughs"
"284","__NA__"
"285","__NA__"
"286","__NA__"
"287","__NA__"
"288","__NA__"
"289","__NA__"
"290","harrow"
"291","__NA__"
"292","__NA__"
"293","__NA__"
"294","__NA__"
"295","__NA__"
"296","__NA__"
"297","__NA__"
"298","__NA__"
"299","__NA__"
"300","__NA__"
"301","__NA__"
"302","__NA__"
"303","__NA__"
"304","__NA__"
"305","Other cities"
"306","__NA__"
"307","__NA__"
"308","__NA__"
"309","__NA__"
"310","__NA__"
"311","__NA__"
"312","__NA__"
"313","__NA__"
"314","__NA__"
"315","__NA__"
"316","Lancashire"
"317","__NA__"
"318","__NA__"
"319","__NA__"
"320","__NA__"
"321","__NA__"
"322","__NA__"
"323","__NA__"
"324","__NA__"
"325","__NA__"
"326","__NA__"
"327","__NA__"
"328","other suburbs"
"329","__NA__"
"330","__NA__"
"331","Crystal palace"
"332","__NA__"
"333","__NA__"
"334","__NA__"
"335","Southampton (aka Scummerland)"
"336","__NA__"
"337","__NA__"
"338","__NA__"
"339","__NA__"
"340","lewisham, Croydon"
"341","Brighton"
"342","__NA__"
"343","__NA__"
"344","__NA__"
"345","__NA__"
"346","__NA__"
"347","__NA__"
"348","__NA__"
"349","Chislehurst"
"350","__NA__"
"351","__NA__"
"352","__NA__"
"353","__NA__"
"354","__NA__"
"355","__NA__"
"356","__NA__"
"357","Cambridgeshire"
"358","__NA__"
"359","Herefordshire, Worcestershire, Shropshire and Suffolk"
"360","Lancashire"
"361","__NA__"
"362","__NA__"
"363","__NA__"
"364","__NA__"
"365","__NA__"
"366","__NA__"
"367","York"
"368","__NA__"
"369","__NA__"
"370","__NA__"
"371","__NA__"
"372","__NA__"
"373","Hull"
"374","__NA__"
"375","__NA__"
"376","__NA__"
"377","__NA__"
"378","__NA__"
"379","__NA__"
"380","__NA__"
"381","__NA__"
"382","Most little villages in the south east"
"383","__NA__"
"384","__NA__"
"385","__NA__"
"386","__NA__"
"387","__NA__"
"388","__NA__"
"389","__NA__"
"390","__NA__"
"391","__NA__"
"392","__NA__"
"393","__NA__"
"394","__NA__"
"395","__NA__"
"396","__NA__"
"397","__NA__"
"398","__NA__"
"399","__NA__"
"400","__NA__"
"401","__NA__"
"402","__NA__"
"403","__NA__"
"404","__NA__"
"405","__NA__"
"406","__NA__"
"407","__NA__"
"408","__NA__"
"409","__NA__"
"410","__NA__"
"411","__NA__"
"412","__NA__"
"413","__NA__"
"414","__NA__"
"415","Camden Town"
"416","__NA__"
"417","__NA__"
"418","Sw lond"
"419","__NA__"
"420","__NA__"
"421","__NA__"
"422","__NA__"
"423","__NA__"
"424","__NA__"
"425","__NA__"
"426","__NA__"
"427","__NA__"
"428","London"
"429","__NA__"
"430","__NA__"
"431","Gloucestershire, Wales, Dorset, Cornwall"
"432","__NA__"
"433","__NA__"
"434","__NA__"
"435","__NA__"
"436","__NA__"
"437","Derby"
"438","__NA__"
"439","__NA__"
"440","__NA__"
"441","__NA__"
"442","__NA__"
"443","__NA__"
"444","__NA__"
"445","__NA__"
"446","__NA__"
"447","__NA__"
"448","Holland park, St Johns Wood"
"449","__NA__"
"450","__NA__"
"451","Cornwall"
"452","__NA__"
"453","__NA__"
"454","__NA__"
"455","__NA__"
"456","__NA__"
"457","__NA__"
"458","__NA__"
"459","__NA__"
"460","__NA__"
"461","__NA__"
"462","california"
"463","__NA__"
"464","gre"
"465","__NA__"
"466","__NA__"
"467","__NA__"
"468","__NA__"
"469","__NA__"
"470","__NA__"
"471","__NA__"
"472","__NA__"
"473","__NA__"
"474","__NA__"
"475","__NA__"
"476","__NA__"
"477","__NA__"
"478","__NA__"
"479","__NA__"
"480","Birmingham"
"481","__NA__"
"482","__NA__"
"483","__NA__"
"484","__NA__"
"485","__NA__"
"486","__NA__"
"487","__NA__"
"488","__NA__"
"489","__NA__"
"490","lewisham"
"491","semi rural Kent, Surrey and Sussex"
"492","__NA__"
"493","Bromley"
"494","__NA__"
"495","Bristol"
"496","__NA__"
"497","__NA__"
"498","__NA__"
"499","__NA__"
"500","__NA__"
"501","__NA__"
"502","__NA__"
"503","__NA__"
"504","__NA__"
"505","__NA__"
"506","__NA__"
"507","__NA__"
"508","__NA__"
"509","__NA__"
"510","__NA__"
"511","__NA__"
"512","__NA__"
"513","__NA__"
"514","__NA__"
"515","__NA__"
"516","__NA__"
"517","__NA__"
"518","__NA__"
"519","__NA__"
"520","__NA__"
"521","__NA__"
"522","__NA__"
"523","__NA__"
"524","__NA__"
"525","__NA__"
"526","__NA__"
"527","__NA__"
