Column,placewords.vec,cleaned vrsion,Freq
1,__na__,NA,15478
21063,Lancashire,Lancashire,227
22033,Yorkshire,Yorkshire,201
21190,Manchester,Manchester,178
21745,Sunderland,Sunderland,151
20607,Devon,Devon,131
21145,London,London,129
20179,and,and,125
21129,Liverpool,Liverpool,124
21385,Other,Other,120
20518,Cornwall,Cornwall,119
21664,South,South,117
21370,of,of,110
21786,the,'The,88
21787,The,'The,88
21671,Southampton,Southampton,82
21319,North,North,80
21287,Newcastle,Newcastle,76
20291,Birmingham,Birmingham,75
20598,Derby,Derby,74
21345,Nottingham,Nottingham,72
21089,Leeds,Leeds,70
21928,West,West,66
21463,Portsmouth,Portsmouth,63
21399,Oxford,Oxford,57
20974,in,(in,56
20674,East,East,51
21056,Lake,Lake,51
20626,District,District,47
21883,Wales,Wales,43
20416,Cambridge,Cambridge,42
21824,Towns,Towns,42
20696,England,England,41
21314,Norfolk,Norfolk,40
21802,to,To,40
21592,Scotland,Scotland,39
20197,Areas,Areas,38
20648,Dorset,Dorset,38
21821,Town,Town,37
20188,any,any,35
20985,Ipswich,Ipswich,35
22026,York,York,35
21201,many,many,32
21027,Kent,Kent,31
21956,Wigan,Wigan,31
20733,Exeter,Exeter,30
21702,St,St,30
21742,Suffolk,Suffolk,30
20360,Brighton,Brighton,28
20956,i,i,28
20364,Bristol,Bristol,27
20138,a,a,26
20539,Country,Country,26
20601,Derbyshire,Derbyshire,26
20396,Burnley,Burnley,25
50,&,,24
20190,Anywhere,#NAME?,24
21443,Places,Places,24
21560,Rural,Rural,24
20953,Hull,Hull,23
21875,Villages,Villages,23
20301,Blackpool,Blackpool,22
21050,Know,Know,22
21605,Seaside,Seaside,22
21381,or,&/or,21
21656,Somerset,Somerset,21
20298,Blackburn,Blackburn,20
21284,New,New,20
21756,Sussex,Sussex,20
20479,City,City,19
20246,Bath,Bath,18
20574,Cumbria,Cumbria,18
20584,Dales,Dales,18
21138,Local,Local,18
21164,Luton,Luton,18
21298,Next,Next,18
21339,Not,Not,18
21416,Parts,Parts,18
21873,Village,Villages,18
20476,Cities,Cities,17
21064,"Lancashire,",Lancashire,17
21327,Northumberland,Northumberland,17
21336,Norwich,Norwich,17
21618,Sheffield,Sheffield,17
21751,Sure,Sure,17
20406,but,(but,16
20991,is,is,16
21254,Most,Most,16
21644,Small,Small,16
20193,are,are,15
20496,Coast,Coast,15
20537,Counties,Counties,15
20631,Dk,Dk,15
20638,Don't,Don't,15
20710,Essex,Essex,15
21985,Wolverhampton,Wolverhampton,15
20528,Cotswolds,Cotswolds,14
20767,Football,"(Football),",14
21338,not,Not,14
21421,Peak,Peak,14
21752,Surrey,Surrey,14
21806,Too,Too,14
20194,Area,Area,13
20627,"District,",District,13
20776,Forest,Forest,13
20896,Helens,Helens,13
21309,No,No,13
20166,all,all,12
20863,Hampshire,Hampshire,12
21130,"Liverpool,",Liverpool,12
21191,"Manchester,",Manchester,12
21312,None,None,12
21473,Preston,Preston,12
21517,Rest,Rest,12
21763,Swindon,Swindon,12
21939,where,where,12
20332,Bournemouth,Bournemouth,11
20519,"Cornwall,",Cornwall,11
21090,"Leeds,",Leeds,11
21146,"London,",London,11
21266,Na,NA,11
21449,Plymouth,Plymouth,11
22034,"Yorkshire,",Yorkshire,11
20313,Bolton,Bolton,10
20498,Coastal,Coastal,10
20545,County,Countys,10
20608,"Devon,",Devon,10
20839,Great,Great,10
21279,Neighbouring,Neighbouring,10
21324,Northern,Northerners,10
21411,Park,Park,10
21522,Richmond,Richmond,10
21638,Similar,Similar,10
21847,Uk,Uk,10
20297,Black,Black,9
20452,Cheltenham,Cheltenham,9
20729,Everywhere,Everywhere,9
21436,Peterborough,Peterborough,9
21723,Stoke,Stoke,9
21755,Surrounding,Surrounding,9
21789,There,There,9
21859,v,v,9
21977,with,With,9
22007,Wrexham,Wrexham,9
12,.,,8
20430,Cardiff,Cardiff,8
20542,Countryside,Countryside,8
20700,English,English,8
20782,France,France,8
20822,Gloucester,Gloucester,8
20872,Harrogate,Harrogate,8
20941,Home,Home,8
20989,Ireland,Ireland,8
21113,Like,Like,8
21124,Live,Live,8
21239,Milton,Milton,8
21261,My,(My,8
21263,n/a,NA,8
21375,on,on,8
21430,People,People,8
21654,Solihull,Solihull,8
21680,Southerners,Southerners,8
21703,St.,St,8
21906,Watford,Watford,8
2,-,,7
20203,as,(as,7
20250,be,be,7
20325,Boroughs,Borough,7
20550,Coventry,Coventry,7
20769,for,(for,7
20852,Guildford,Guildford,7
20923,Highlands,Highlands,7
20925,Hill,Hill,7
21033,Keynes,Keynes,7
21094,Leicester,Leicester,7
21116,Lincolnshire,Lincolnshire,7
21155,Lots,Lots,7
21230,Midlands,Midlands,7
21249,more,More.,7
21275,Nearby,Nearby,7
21529,Rival,Rival,7
21538,Rochdale,Rochdale,7
21595,Scottish,Scottish,7
21655,some,some,7
21746,"Sunderland,",Sunderland,7
21856,Upon,Upon,7
22016,Yarmouth,Yarmouth,7
5,",",,6
20225,Avon,Avon,6
20292,"Birmingham,",Birmingham,6
20454,Cheshire,Cheshire,6
20514,Corby,Corby,6
20620,Different,Different,6
20640,Don’t,Don’t,6
20690,Else,Else,6
20847,Grimsby,Grimsby,6
20855,Hackney,Hackney,6
20999,it,It.,6
21069,Lancaster,Lancaster,6
21083,Large,Large,6
