,placewords.vec,Freq
1,__na__,15478
2,-,7
3,--,1
4,#NAME?,1
5,",",6
6,;,1
7,;kl,1
8,:-),1
9,:),2
10,!,1
11,!!,1
12,.,8
13,'The,1
14,‘liverpool’,1
15,‘next,1
16,‘scummers’,1
17,‘south’,1
18,‘yorkshire’,1
19,"""Pompey""",1
20,"""Rivalries"",",1
21,“darn,1
22,(,1
23,(!),1
24,(aka,1
25,(and,1
26,(and/or,1
27,(as,1
28,(Brummies),1
29,(but,2
30,(Devon,1
31,(Down,1
32,"(Football),",1
33,(for,1
34,(I'm,1
35,(in,2
36,(Mainly,1
37,(My,1
38,(Nec),1
39,(Only,1
40,(Seaside),1
41,(Sheepshaggers),1
42,(the,1
43,(Thinking,1
44,(Traditionally),1
45,(Wankers),1
46,(when,1
47,(Yellow,1
48,)War,1
49,/,4
50,&,24
51,&/or,1
52,&wear,1
53,|bradford,1
54,0,1
55,1,2
56,10,1
57,100,1
58,1000,1
59,10000,1
60,10001,1
61,10002,1
62,10003,1
63,10004,1
64,10005,1
65,10006,1
66,10007,1
67,10008,1
68,10009,1
69,1001,1
70,10010,1
71,10011,1
72,10012,1
73,10013,1
74,10014,1
75,10015,1
76,10016,1
77,10017,1
78,10018,1
79,10019,1
80,1002,1
81,10020,1
82,10021,1
83,10022,1
84,10023,1
85,10024,1
86,10025,1
87,10026,1
88,10027,1
89,10028,1
90,10029,1
91,1003,1
92,10030,1
93,10031,1
94,10032,1
95,10033,1
96,10034,1
97,10035,1
98,10036,1
99,10037,1
100,10038,1
101,10039,1
102,1004,1
103,10040,1
104,10041,1
105,10042,1
106,10043,1
107,10044,1
108,10045,1
109,10046,1
110,10047,1
111,10048,1
112,10049,1
113,1005,1
114,10050,1
115,10051,1
116,10052,1
117,10053,1
118,10054,1
119,10055,1
120,10056,1
121,10057,1
122,10058,1
123,10059,1
124,1006,1
125,10060,1
126,10061,1
127,10062,1
128,10063,1
129,10064,1
130,10065,1
131,10066,1
132,10067,1
133,10068,1
134,10069,1
135,1007,1
136,10070,1
137,10071,1
138,10072,1
139,10073,1
140,10074,1
141,10075,1
142,10076,1
143,10077,1
144,10078,1
145,10079,1
146,1008,1
147,10080,1
148,10081,1
149,10082,1
150,10083,1
151,10084,1
152,10085,1
153,10086,1
154,10087,1
155,10088,1
156,10089,1
157,1009,1
158,10090,1
159,10091,1
160,10092,1
161,10093,1
162,10094,1
163,10095,1
164,10096,1
165,10097,1
166,10098,1
167,10099,1
168,101,1
169,1010,1
170,10100,1
171,10101,1
172,10102,1
173,10103,1
174,10104,1
175,10105,1
176,10106,1
177,10107,1
178,10108,1
179,10109,1
180,1011,1
181,10110,1
182,10111,1
183,10112,1
184,10113,1
185,10114,1
186,10115,1
187,10116,1
188,10117,1
189,10118,1
190,10119,1
191,1012,1
192,10120,1
193,10121,1
194,10122,1
195,10123,1
196,10124,1
197,10125,1
198,10126,1
199,10127,1
200,10128,1
201,10129,1
202,1013,1
203,10130,1
204,10131,1
205,10132,1
206,10133,1
207,10134,1
208,10135,1
209,10136,1
210,10137,1
211,10138,1
212,10139,1
213,1014,1
214,10140,1
215,10141,1
216,10142,1
217,10143,1
218,10144,1
219,10145,1
220,10146,1
221,10147,1
222,10148,1
223,10149,1
224,1015,1
225,10150,1
226,10151,1
227,10152,1
228,10153,1
229,10154,1
230,10155,1
231,10156,1
232,10157,1
233,10158,1
234,10159,1
235,1016,1
236,10160,1
237,10161,1
238,10162,1
239,10163,1
240,10164,1
241,10165,1
242,10166,1
243,10167,1
244,10168,1
245,10169,1
246,1017,1
247,10170,1
248,10171,1
249,10172,1
250,10173,1
251,10174,1
252,10175,1
253,10176,1
254,10177,1
255,10178,1
256,10179,1
257,1018,1
258,10180,1
259,10181,1
260,10182,1
261,10183,1
262,10184,1
263,10185,1
264,10186,1
265,10187,1
266,10188,1
267,10189,1
268,1019,1
269,10190,1
270,10191,1
271,10192,1
272,10193,1
273,10194,1
274,10195,1
275,10196,1
276,10197,1
277,10198,1
278,10199,1
279,102,1
280,1020,1
281,10200,1
282,10201,1
283,10202,1
284,10203,1
285,10204,1
286,10205,1
287,10206,1
288,10207,1
289,10208,1
290,10209,1
291,1021,1
292,10210,1
293,10211,1
294,10212,1
295,10213,1
296,10214,1
297,10215,1
298,10216,1
299,10217,1
300,10218,1
301,10219,1
302,1022,1
303,10220,1
